Course Name,Folder / Section,Lecture Title,YouTube URL,YouTube Video ID,Google Drive / Notes URL,PDF URL,Other Material URL,Live Class URL,Lock Status,Course ID
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,ব্যাকরণ : সমাস,https://www.youtube.com/watch?v=2GHijse4fM8,2GHijse4fM8,https://drive.google.com/drive/folders/1cFJLxRFnJVy5Vjm5Jwr1kg25wke9k-zw,,,https://youtube.com/live/2GHijse4fM8?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,"English Grammar : Active And Passive Voice, Affirmative & Negative Agreement",https://www.youtube.com/watch?v=-JdeQIclG6s,-JdeQIclG6s,https://drive.google.com/drive/folders/1gWO7Rb-f5BOoV5_g4FuJrwvDAlnoMAJm?usp=drive_link,,,https://youtube.com/live/-JdeQIclG6s?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,"সাধারণ জ্ঞান : বাংলাদেশের ভৌগোলিক অবস্থান ও সীমানা, ছিটমহল, সমুদ্র বিজয়, বঙ্গোপসাগর, সৌরজগৎ ও মহাকাশ, ভৌগোলিক উপনাম",https://www.youtube.com/watch?v=A0Q9yY8_9fw,A0Q9yY8_9fw,https://drive.google.com/drive/folders/1dhHSwsykn-xGoCQ1NhZMTLIOQrHHmfSt?usp=drive_link,,,https://youtube.com/live/A0Q9yY8_9fw?feature=share,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৭ টপিক,English 1st Paper : Unit Seven: Youthful Achievers,https://www.youtube.com/watch?v=lTL0girlcu4,lTL0girlcu4,,,,,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৮ টপিক,"বাংলা ১ম পত্র : ঋতু-বর্ণন, সোনার তরী",https://www.youtube.com/watch?v=-4agl-ttFJg,-4agl-ttFJg,,,,https://youtube.com/live/-4agl-ttFJg?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৮ টপিক,"ব্যাকরণ : সন্ধি, ছন্দ ও অলঙ্কার",https://www.youtube.com/watch?v=Hph3wj52MOs,Hph3wj52MOs,https://drive.google.com/drive/folders/10GKy9y3kSKiTvhU8aRKFTxSrDgQI1xrb?usp=drive_link,,,https://youtube.com/live/Hph3wj52MOs?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৮ টপিক,"English Grammar : Degree of Comparison, Parallelism & Structure Agreement",https://www.youtube.com/watch?v=wpfh93AsFPs,wpfh93AsFPs,https://drive.google.com/drive/folders/1nTZ2_Y3xQtrIYtbAjOGe9SDfSe33wZtp?usp=drive_link,,,,purchased,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৮ টপিক,"সাধারণ জ্ঞান : বাংলাদেশের ভূপ্রকৃতি, বনজ সম্পদ, ভূ উপগ্রহ কেন্দ্র, বিভিন্ন স্থান এবং বাংলাদেশের নদনদী, উপনদী, শাখানদী",https://www.youtube.com/watch?v=wpXZF7cDB68,wpXZF7cDB68,,,,,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৮ টপিক,English 1st Paper : Unit Eight: Relationships Lesson,https://www.youtube.com/watch?v=c-cL9EjEMRI,c-cL9EjEMRI,,,,https://youtube.com/live/c-cL9EjEMRI?feature=share,locked,6a5a31acadc93e04e499bd95
সেকেন্ড টাইম 'AIM' ভার্সিটি খ ও বিভাগ পরিবর্তন ইউনিট লাইভ ক্লাস ও এক্সাম কোর্স ২০২৬-২৭,লেকচার-০৯ টপিক,"বাংলা ১ম পত্র : বিদ্রোহী, সুচেতনা",https://www.youtube.com/watch?v=hSEPfunXuao,hSEPfunXuao,,,,https://youtube.com/live/hSEPfunXuao?feature=share,locked,6a5a31acadc93e04e499bd95
